Line, Trap Number, Type, Catch, Comment -------------------
Line 5, BP53.5, A24,,
Line 5, BP54, A24,,
Line 5, BP54.5, A24,,
Line 5, BP55, A24,,
Line 5, BP56, A24,,
Line 5, BP57, A24,,
Line 5, BP58, A24,,
Line 5, BP59, A24,,
Line 5, BP60, A24,,
Line 6, BP70, DOC200,,
Line 6, BP71, A24,,
Line 6, BP72, A24,,
Line 6, BP73, DOC200,,
Line 6, BP74, A24,,
Line 6, BP75, A24,,
Line 6, BP76, DOC200,,
Line 6, BP76.6, No Trap,,
Line 6, BP77, A24,,
Line 6, BP78, A24,,
Line 6, BP78.6, A24 down hill,,
Line 6, BP79, A24,,
Line 6, BP80, A24,,
Line 6, BP81, A24,,
Line 6, BP82, A24,,
Line 6, BP83, A24,,
Line 6, BP84, A24,,
Line 6, BP85, A24,,
Line 3, BP27, DOC200,,
Line 3, BP32, DOC200,,
Line 3, BP31, A24,,
Line 3, BP30, DOC200,,
Line 3, BP29, A24,,
Line 3, BP28, A24,,
Line 4, BP44, A24,,
Line 4, BP45, A24,,
Line 4, BP45.4, A24,,
Line 4, BP46, DOC200,,
Line 4, BP47, A24,,
Line 4, BP48, DOC200,,
Line 4, BP49, A24,,
Line 4, BP49.4, DOC200,,
Line 4, BP50, A24,,
Line 4, BP51, DOC200,,
Line 4, BP52, A24,,
Line 4, BP53, DOC200,,
Line 4, BP53.4, A24,,
Line 4, BP54.4, DOC200,,
Line 4, BP55.4, A24,,
Line 4, BP56.4, A24,,
Line 4, BP58.4, A24,,
Line 4, BP59.4, A24,,
Line 4, BP60.4, A24,,
Line 4, BP61, DOC200,,
Line 4, BP62, A24,,
Line 4, BP63, A24,,
Line 4, BP64, A24,,
Line 4, BP23, DOC200,,
Line 4, BP25, A24,,
Line 4, BP24, A24,,
Line 4, BP26, DOC200,,
Line 4, BP27.4, A24,,
Line 1, BP13, A24,,
Line 1, BP12, DOC200,,
Line 1, BP11, A24,,
Line 1, BP10, A24,,
Line 1, BP09, DOC200,,
Line 1, BP08, A24,,
Line 1, BP07, A24,,
Line 1, BP06, DOC200,,
Line 1, BP05, A24,,
Line 1, BP04, A24,,
Line 1, BP03, DOC200,,
Line 1, BP02, A24,,
Line 1, BP01, A24,,
Line 2, BP0.2, A24,,
Line 2, BP14, A24,,
Line 2, BP15, A24,,
Line 2, BP16, DOC200,,
Line 2, BP17, A24,,
Line 2, BP18, A24,,
Line 2, BP19, DOC200,,
Line 2, BP20, A24,,
Line 2, BP21, A24,,
Line 2, BP22, DOC200,,
Line 7, BPT01, Trapinator,,
Line 7, BPT03, Trapinator,,
Line 7, BPT04, Trapinator,,
Line 7, BPT02, Trapinator,,
Line 7, BPA02, A12,,
Line 7, BPA01, A12,,
Line 7, BPA04, A12,,
Line 7, BPA03, A12,,
Line 7, BPA05, A12,,
Line 7, BPT08, Trapinator,,
Line 7, BPT05, Trapinator,,
Line 7, BPT06, Trapinator,,
Line 7, BPT07, Trapinator,,
Line 7, BPT09, Trapinator,,
Line 7, BPT10, Trapinator,,
Line 8, L01, DOC200,,
Line 8, L02, A24,,
Line 8, L03, DOC200,,
Line 8, L04, A24,,
Line 8, L05, DOC200,,
Line 8, L06, A24,,
Line 8, L07, DOC200,,
Line 8, L08, DOC200,,
Line 8, L09, DOC200,,
Line 8, L10, DOC200,,
Line 8, L11, DOC200,,
Line 8, L12, DOC200,,
Line 8, L13, No Trap,,
Line 8, L14, No Trap,,
Line 8, L15, No Trap,,
Line 8, L35, No Trap,,
Line 8, L34, No Trap,,
Line 8, L33, No Trap,,
Line 8, L32, No Trap,,
Line 8, L31, No Trap,,
Line 8, L30, No Trap,,
Line 8, L29, No Trap,,
Line 8, L28, No Trap,,
Line 8, L27, No Trap,,
Line 8, L26, No Trap,,
Line 8, L25, No Trap,,
Line 8, L24, No Trap,,
Line 8, L23, No Trap,,
Line 8, L22, No Trap,,
Line 8, L21, No Trap,,
Line 8, L20, No Trap,,
Line 8, L19, No Trap,,
Line 8, L18, No Trap,,
Line 8, L17, No Trap,,
Line 8, L16, No Trap,,
,,TEAM, DATE, Please send to:
,,,, stanleymulvany@gmail.com
,,,, S Mulvany PO Box 6071
,,,, Invercargill 9841
