BP0.2 AKA BP2,2002,x,Line 2,,,,
BP01,1010,x,Line 1,,,,
BP02,1020,x,Line 1,,,,
BP03,1030,x,Line 1,,,,
BP04,1040,x,Line 1,,,,
BP05,1050,x,Line 1,,,,
BP06,1060,x,Line 1,,,,
BP07,1070,x,Line 1,,,,
BP08,1080,x,Line 1,,,,
BP09,1090,x,Line 1,,,,
BP10,1100,x,Line 1,,,,
BP11,1110,x,Line 1,,,,
BP12,1120,x,Line 1,,,,
BP13,1130,x,Line 1,,,,
BP14,2140,x,Line 2,,,,
BP15,2150,x,Line 2,,,,
BP16,2160,x,Line 2,,,,
BP17,2170,x,Line 2,,,,
BP18,2180,x,Line 2,,,,
BP19,2190,x,Line 2,,,,
BP20,2200,x,Line 2,,,,
BP21,2210,x,Line 2,,,,
BP22,2220,x,Line 2,,,,
BP23,4230,x,Line 4,,,,
BP24,4240,x,Line 4,,,,
BP25,4250,x,Line 4,,,,
BP26,4260,,Line 4,,,,
BP27,3270,x,Line 3,,,,
BP27.4,4274,x,Line 4,,,,
BP28,3280,x,Line 3,,,,
BP29,3290,x,Line 3,,,,
BP30,3300,x,Line 3,,,,
BP31,3310,x,Line 3,,,,
BP32,3320,x,Line 3,,,,
BP44,4440,x,Line 4,,,,
BP45,4450,x,Line 4,,,,
BP45.4,4454,x,Line 4,,,,
BP46,4460,x,Line 4,,,,
BP47,4470,x,Line 4,,,,
BP48,4480,x,Line 4,,,,
BP49,4490,x,Line 4,,,,
BP49.4,4494,x,Line 4,,,,
BP50,4500,x,Line 4,,,,
BP51,4510,x,Line 4,,,,
BP52,4520,x,Line 4,,,,
BP53,4530,x,Line 4,,,,
BP53.4,4534,x,Line 4,,,,
BP53.5,5535,x,Line 5,,,,
BP54,5540,x,Line 5,,,,
BP54.4,4544,x,Line 4,,,,
BP54.5,5545,x,Line 5,,,,
BP55,5550,x,Line 5,,,,
BP55.4,4554,x,Line 4,,,,
BP56,5560,x,Line 5,,,,
BP56.4,4564,x,Line 4,,,,
BP57,5570,x,Line 5,,,,
BP58,5580,x,Line 5,,,,
BP58.4,4584,x,Line 4,,,,
BP59,5590,x,Line 5,,,,
BP59.4,4594,x,Line 4,,,,
BP60,5600,x,Line 5,,,,
BP60.4,4604,x,Line 4,,,,
BP61,4610,x,Line 4,,,,
BP62,4620,x,Line 4,,,,
BP63,4630,x,Line 4,,,,
BP64,4640,x,Line 4,,,,
BP70,6700,x,Line 6,,,,
BP71,6710,x,Line 6,,,,
BP72,6720,x,Line 6,,,,
BP73,6730,x,Line 6,,,,
BP74,6740,x,Line 6,,,,
BP75,6750,x,Line 6,,,,
BP76,6760,x,Line 6,,,,
BP76.6,6766,No Trap,Line 6,,,,
BP77,6770,x,Line 6,,,,
BP78,6780,x,Line 6,,,,
BP78.6,6786,x,Line 6,,,,
BP79,6790,x,Line 6,,,,
BP80,6800,x,Line 6,,,,
BP81,6810,x,Line 6,,,,
BP82,6820,x,Line 6,,,,
BP83,6830,x,Line 6,,,,
BP84,6840,x,Line 6,,,,
BP85,6850,x,Line 6,,,,
BPA01,7010,x,Line 7,,,,
BPA02,7020,x,Line 7,,,,
BPA03,7030,x,Line 7,,,,
BPA04,7040,x,Line 7,,,,
BPA05,7050,x,Line 7,,,,
BPT01,7011,x,Line 7,,,,
BPT02,7021,x,Line 7,,,,
BPT03,7031,x,Line 7,,,,
BPT04,7041,x,Line 7,,,,
BPT05,7051,x,Line 7,,,,
BPT06,7061,x,Line 7,,,,
BPT07,7071,x,Line 7,,,,
BPT08,7081,x,Line 7,,,,
BPT09,7091,x,Line 7,,,,
BPT10,7101,x,Line 7,,,,
L01,8010,x,Line 8,,,,
L02,8020,x,Line 8,,,,
L03,8030,x,Line 8,,,,
L04,8040,x,Line 8,,,,
L05,8050,x,Line 8,,,,
L06,8060,x,Line 8,,,,
L07,8070,x,Line 8,,,,
L08,8080,x,Line 8,,,,
L09,8090,x,Line 8,,,,
L10,8100,x,Line 8,,,,
L11,8110,x,Line 8,,,,
L12,8120,x,Line 8,,,,
