geometry,Area,Line,Tag No,Trap 1,Trap 2,Date Checked,Baited With,Baited On,Status,Record Comment,Comment,User ID,Trap No,Trap Type
"X: 1142914.9171, Y: 4948831.6865, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP01,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,1,A24
"X: 1142935.7597, Y: 4948814.2226, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP02,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,2,A24
"X: 1142970.7389, Y: 4948817.3342, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP03,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,DOC200SINGLE,N/A,Stan Sally Gav,3,A24
"X: 1142998.7149, Y: 4948807.6498, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP04,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,4,A24
"X: 1143088.7191, Y: 4948771.7805, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP07,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,7,A24
"X: 1143128.4571, Y: 4948781.8274, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP08,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,8,A24
"X: 1143153.901, Y: 4948807.9179, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP09,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,DOC200SINGLE,N/A,Stan Sally Gav,9,A24
"X: 1143178.3676, Y: 4948794.6265, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP10,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,10,A24
"X: 1143208.0522, Y: 4948783.0557, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP11,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,11,A24
"X: 1143237.8349, Y: 4948781.9897, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP12,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,DOC200SINGLE,N/A,Stan Sally Gav,12,A24
"X: 1143260.9146, Y: 4948812.486, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP13,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,13,A24
"X: 1143286.5616, Y: 4948817.4837, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP14,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,14,A24
"X: 1143295.2635, Y: 4948792.991, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP15,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,15,A24
"X: 1143315.3974, Y: 4948822.9372, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP16,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,DOC200SINGLE,N/A,Stan Sally Gav,16,A24
"X: 1143300.7433, Y: 4948851.4629, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP17,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,17,A24
"X: 1143270.039, Y: 4948867.3151, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP18,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,18,A24
"X: 1143224.4038, Y: 4948867.0016, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP19,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,DOC200SINGLE,N/A,Stan Sally Gav,19,A24
"X: 1143187.0732, Y: 4948850.8771, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP20,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,20,A24
"X: 1143028.8363, Y: 4948887.0177, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP21,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,21,A24
