name, latitude, longitude, elevation, time, comment, symbol, description
BP0.2,-45.463938,167.1531,20.309067,2021-03-01 03:32:41+00:00,A24, Pin Blue,Line 2
BP01,-45.463723,167.154366,19.388821,2021-03-01 03:07:14+00:00,A24, Pin Blue,Line 1
BP02,-45.463709,167.15456,24.330406,2021-03-01 03:05:55+00:00,A24, Pin Blue,Line 1
BP03,-45.463407,167.154948,16.31744,2021-03-01 03:04:09+00:00,DOC200, Pin Red,Line 1
BP04,-45.463381,167.155304,11.89422,2021-03-01 03:02:22+00:00,A24, Pin Blue,Line 1
BP05,-45.463837,167.156082,18.161633,2021-03-01 02:57:57+00:00,A24, Pin Blue,Line 1
BP06,-45.463518,167.156603,23.304579,2021-03-01 02:56:24+00:00,DOC200, Pin Red,Line 1
BP07,-45.463173,167.156988,30.145847,2021-03-01 02:53:50+00:00,A24, Pin Blue,Line 1
BP08,-45.463045,167.15748,25.032833,2021-03-01 02:46:37+00:00,A24, Pin Blue,Line 1
BP09,-45.463345,167.157482,41.744884,2021-03-01 02:44:38+00:00,DOC200, Pin Red,Line 1
BP10,-45.463629,167.157457,53.779259,2021-03-01 02:43:03+00:00,A24, Pin Blue,Line 1
BP11,-45.464035,167.157498,61.625385,2021-03-01 02:41:13+00:00,A24, Pin Blue,Line 1
BP12,-45.464227,167.157924,60.855202,2021-03-01 02:38:28+00:00,DOC200, Pin Red,Line 1
BP13,-45.464436,167.158103,52.185066,2021-03-01 02:37:10+00:00,A24, Pin Blue,Line 1
BP14,-45.464329,167.153335,26.433802,2021-03-01 03:35:32+00:00,A24, Pin Blue,Line 2
BP15,-45.464337,167.153632,36.02346,2021-03-01 03:39:18+00:00,A24, Pin Blue,Line 2
BP16,-45.464525,167.153943,41.437988,2021-03-01 03:41:06+00:00,DOC200, Pin Red,Line 2
BP17,-45.464478,167.1542,39.749222,2021-03-01 03:42:37+00:00,A24, Pin Blue,Line 2
BP18,-45.464565,167.154636,30.527458,2021-03-01 03:44:21+00:00,A24, Pin Blue,Line 2
BP19,-45.464769,167.155173,32.280613,2021-03-01 03:46:12+00:00,DOC200, Pin Red,Line 2
BP20,-45.464694,167.155648,30.912422,2021-03-01 03:47:53+00:00,A24, Pin Blue,Line 2
BP21,-45.464541,167.155918,31.87981,2021-03-01 03:49:28+00:00,A24, Pin Blue,Line 2
BP22,-45.464766,167.156253,37.034203,2021-03-01 03:51:36+00:00,DOC200, Pin Red,Line 2
BP23,-45.464722,167.156745,62.975327,2021-03-01 02:16:18+00:00,DOC200, Pin Red,Line 4
