name,name-new," latitude"," longitude"," elevation"," time"," comment"," symbol"," description"," latitude-new"," longitude-new"," time-new",name," Type-template",Comment-template
BP0.2,BP0.2,-45.463938,167.1531,20.309067,"2021-03-01 03:32:41+00:00",A24," Pin Blue","Line 2",-45.463946,167.15309,"2021-06-24 03:04:20+00:00",BP0.2,A24,""
BP01,BP01,-45.463723,167.154366,19.388821,"2021-03-01 03:07:14+00:00",A24," Pin Blue","Line 1",-45.463723,167.154354,"2021-06-24 03:04:20+00:00",BP01,A24,""
BP02,BP02,-45.463709,167.15456,24.330406,"2021-03-01 03:05:55+00:00",A24," Pin Blue","Line 1",-45.463715,167.154547,"2021-06-24 03:04:20+00:00",BP02,A24,""
BP03,BP03,-45.463407,167.154948,16.31744,"2021-03-01 03:04:09+00:00",DOC200," Pin Red","Line 1",-45.463411,167.154936,"2021-06-24 03:04:20+00:00",BP03,DOC200,""
BP04,BP04,-45.463381,167.155304,11.89422,"2021-03-01 03:02:22+00:00",A24," Pin Blue","Line 1",-45.463385,167.155297,"2021-06-24 03:04:20+00:00",BP04,A24,""
BP05,BP05,-45.463837,167.156082,18.161633,"2021-03-01 02:57:57+00:00",A24," Pin Blue","Line 1",-45.463839,167.156082,"2021-06-24 03:04:20+00:00",BP05,A24,""
BP06,BP06,-45.463518,167.156603,23.304579,"2021-03-01 02:56:24+00:00",DOC200," Pin Red","Line 1",-45.463523,167.156601,"2021-06-24 03:04:20+00:00",BP06,DOC200,""
BP07,BP07,-45.463173,167.156988,30.145847,"2021-03-01 02:53:50+00:00",A24," Pin Blue","Line 1",-45.463174,167.156982,"2021-06-24 03:04:20+00:00",BP07,A24,""
BP08,BP08,-45.463045,167.15748,25.032833,"2021-03-01 02:46:37+00:00",A24," Pin Blue","Line 1",-45.463046,167.157469,"2021-06-24 03:04:20+00:00",BP08,A24,""
BP09,BP09,-45.463345,167.157482,41.744884,"2021-03-01 02:44:38+00:00",DOC200," Pin Red","Line 1",-45.463352,167.157475,"2021-06-24 03:04:20+00:00",BP09,DOC200,""
BP10,BP10,-45.463629,167.157457,53.779259,"2021-03-01 02:43:03+00:00",A24," Pin Blue","Line 1",-45.46363,167.157447,"2021-06-24 03:04:20+00:00",BP10,A24,""
BP11,BP11,-45.464035,167.157498,61.625385,"2021-03-01 02:41:13+00:00",A24," Pin Blue","Line 1",-45.464037,167.157494,"2021-06-24 03:04:20+00:00",BP11,A24,""
BP12,BP12,-45.464227,167.157924,60.855202,"2021-03-01 02:38:28+00:00",DOC200," Pin Red","Line 1",-45.46423,167.157922,"2021-06-24 03:04:19+00:00",BP12,DOC200,""
BP13,BP13,-45.464436,167.158103,52.185066,"2021-03-01 02:37:10+00:00",A24," Pin Blue","Line 1",-45.464437,167.158092,"2021-06-24 03:04:19+00:00",BP13,A24,""
BP14,BP14,-45.464329,167.153335,26.433802,"2021-03-01 03:35:32+00:00",A24," Pin Blue","Line 2",-45.464337,167.153331,"2021-06-24 03:04:20+00:00",BP14,A24,""
BP15,BP15,-45.464337,167.153632,36.02346,"2021-03-01 03:39:18+00:00",A24," Pin Blue","Line 2",-45.464343,167.153624,"2021-06-24 03:04:20+00:00",BP15,A24,""
BP16,BP16,-45.464525,167.153943,41.437988,"2021-03-01 03:41:06+00:00",DOC200," Pin Red","Line 2",-45.46453,167.153938,"2021-06-24 03:04:20+00:00",BP16,DOC200,""
BP17,BP17,-45.464478,167.1542,39.749222,"2021-03-01 03:42:37+00:00",A24," Pin Blue","Line 2",-45.46448,167.154199,"2021-06-24 03:04:20+00:00",BP17,A24,""
BP18,BP18,-45.464565,167.154636,30.527458,"2021-03-01 03:44:21+00:00",A24," Pin Blue","Line 2",-45.464565,167.154625,"2021-06-24 03:04:20+00:00",BP18,A24,""
BP19,BP19,-45.464769,167.155173,32.280613,"2021-03-01 03:46:12+00:00",DOC200," Pin Red","Line 2",-45.464773,167.155166,"2021-06-24 03:04:20+00:00",BP19,DOC200,""
BP20,BP20,-45.464694,167.155648,30.912422,"2021-03-01 03:47:53+00:00",A24," Pin Blue","Line 2",-45.464699,167.155647,"2021-06-24 03:04:20+00:00",BP20,A24,""
BP21,BP21,-45.464541,167.155918,31.87981,"2021-03-01 03:49:28+00:00",A24," Pin Blue","Line 2",-45.464541,167.155907,"2021-06-24 03:04:20+00:00",BP21,A24,""
