name,seq,, lat, lon,ele,time,desc,cmt,ACTION REQUIRED
BP02,16,x,-45.463709,167.15456,24.330406,2021-03-01 03:05:55+00:00,Line 1,A24,A24 not in db
BP05,17,x,-45.463837,167.156082,18.161633,2021-03-01 02:57:57+00:00,Line 1,A24,A24 not in db
BP27.4,18,x,-45.46475,167.157882,64.048279,2021-03-01 02:31:42+00:00,Line 4,A24,A24 not in db
BP31,19,x,-45.46563,167.154501,66.669121,2021-03-01 01:01:36+00:00,Line 3,A24,A24 not in db
BP44,20,x,-45.466559,167.152057,98.843773,2021-03-01 01:19:09+00:00,Line 4,A24,A24 not in db
BP45,21,x,-45.466874,167.152401,91.993797,2021-03-01 01:22:08+00:00,Line 4,A24,A24 not in db
BP45.4,22,x,-45.467236,167.15273,99.009644,2021-03-01 01:26:26+00:00,Line 4,A24,A24 not in db
BP47,23,x,-45.467266,167.153273,83.955704,2021-03-01 01:30:45+00:00,Line 4,A24,A24 not in db
BP49,24,x,-45.467126,167.15392,77.048462,2021-03-01 01:35:43+00:00,Line 4,A24,A24 not in db
BP50,25,x,-45.466738,167.154045,76.205254,2021-03-01 01:39:57+00:00,Line 4,A24,A24 not in db
BP52,26,x,-45.466598,167.154467,86.26825,2021-03-01 01:43:40+00:00,Line 4,A24,A24 not in db
BP53.4,27,x,-45.46636,167.15478,71.65863,2021-03-01 01:47:28+00:00,Line 4,A24,A24 not in db
BP53.5,28,x,-45.461975,167.149329,188.509552,2021-02-28 19:36:03+00:00,Line 5,A24,A24 not in db
BP54,29,x,-45.461847,167.149155,202.101562,2021-02-28 19:48:08+00:00,Line 5,A24,A24 not in db
BP54.5,30,x,-45.46114,167.148646,219.715271,2021-02-28 20:03:43+00:00,Line 5,A24,A24 not in db
BP55,31,x,-45.460628,167.148406,212.656723,2021-02-28 20:14:31+00:00,Line 5,A24,A24 not in db
BP55.4,32,x,-45.466099,167.154798,70.281342,2021-03-01 01:51:08+00:00,Line 4,A24,A24 not in db
BP56,33,x,-45.460276,167.148032,205.121765,2021-02-28 20:21:16+00:00,Line 5,A24,A24 not in db
BP56.4,34,x,-45.465911,167.155121,72.995186,2021-03-01 01:53:16+00:00,Line 4,A24,A24 not in db
BP57,35,x,-45.460149,167.14759,215.467514,2021-02-28 20:32:09+00:00,Line 5,A24,A24 not in db
BP58,36,x,-45.459701,167.148107,206.43924,2021-02-28 20:39:04+00:00,Line 5,A24,A24 not in db
BP58.4,37,x,-45.465781,167.155543,70.018654,2021-03-01 01:59:43+00:00,Line 4,A24,A24 not in db
BP59,38,x,-45.459531,167.148179,194.410507,2021-02-28 20:48:11+00:00,Line 5,A24,A24 not in db
BP59.4,39,x,-45.465702,167.155895,72.343536,2021-03-01 02:02:15+00:00,Line 4,A24,A24 not in db
BP60,40,x,-45.45907,167.148123,175.738297,2021-02-28 20:55:48+00:00,Line 5,A24,A24 not in db
BP60.4,41,x,-45.465265,167.155895,61.223221,2021-03-01 02:04:33+00:00,Line 4,A24,A24 not in db
BP62,42,x,-45.465138,167.156167,69.247459,2021-03-01 02:08:25+00:00,Line 4,A24,A24 not in db
BP63,43,x,-45.46488,167.156435,55.353573,2021-03-01 02:10:37+00:00,Line 4,A24,A24 not in db
BP64,44,x,-45.464812,167.156452,51.979195,2021-03-01 02:13:27+00:00,Line 4,A24,A24 not in db
BP71,45,x,-45.465755,167.152457,42.967293,2021-02-28 22:42:56+00:00,Line 6,A24,A24 not in db
BP72,46,x,-45.465653,167.152195,55.017143,2021-02-28 22:47:13+00:00,Line 6,A24,A24 not in db
BP74,47,x,-45.465433,167.15152,81.076782,2021-02-28 22:57:16+00:00,Line 6,A24,A24 not in db
BP75,48,x,-45.465066,167.151164,93.073631,2021-02-28 23:02:14+00:00,Line 6,A24,A24 not in db
BP77,49,x,-45.465055,167.150301,151.314484,2021-02-28 23:20:49+00:00,Line 6,A24,A24 not in db
BP78,50,x,-45.464916,167.150166,164.997482,2021-02-28 23:25:46+00:00,Line 6,A24,A24 not in db
BP78.6,51,x,-45.465061,167.149513,186.063461,2021-02-28 23:35:25+00:00,Line 6,A24 down hill,A24 not in db
BP79,52,x,-45.465018,167.149622,193.359573,2021-02-28 23:36:52+00:00,Line 6,A24,A24 not in db
BP80,53,x,-45.464874,167.149259,221.153473,2021-02-28 23:44:12+00:00,Line 6,A24,A24 not in db
BP81,54,x,-45.464807,167.148927,232.546707,2021-02-28 23:50:33+00:00,Line 6,A24,A24 not in db
BP82,55,x,-45.46456,167.148949,235.754959,2021-02-28 23:55:13+00:00,Line 6,A24,A24 not in db
BP83,56,x,-45.464264,167.148804,240.668991,2021-02-28 23:58:43+00:00,Line 6,A24,A24 not in db
BP84,57,x,-45.464004,167.148736,236.377335,2021-03-01 00:02:48+00:00,Line 6,A24,A24 not in db
BP85,58,x,-45.463761,167.148378,235.779617,2021-03-01 00:07:55+00:00,Line 6,A24,A24 not in db
L02,59,x,-45.486534,167.169273,151.237137,2021-03-01 19:52:43+00:00,Line 8,A24,A24 not in db
L04,60,x,-45.486963,167.169717,172.532318,2021-03-01 19:56:16+00:00,Line 8,A24,A24 not in db
L06,61,x,-45.487408,167.169713,194.696594,2021-03-01 20:00:03+00:00,Line 8,A24,A24 not in db
