name,seq,, lat, lon,ele,time,desc,cmt,ACTION REQUIRED
BP06,62,x,-45.463518,167.156603,23.304579,2021-03-01 02:56:24+00:00,Line 1,DOC200,DOC200 Single not in db
BP30,63,x,-45.465844,167.154687,70.517097,2021-03-01 01:03:42+00:00,Line 3,DOC200,DOC200 Single not in db
BP32,64,x,-45.465431,167.153976,61.698624,2021-03-01 00:57:46+00:00,Line 3,DOC200,DOC200 Single not in db
BP46,65,x,-45.467252,167.152839,92.49247,2021-03-01 01:28:13+00:00,Line 4,DOC200,DOC200 Single not in db
BP48,66,x,-45.467273,167.153601,84.167526,2021-03-01 01:32:30+00:00,Line 4,DOC200,DOC200 Single not in db
BP49.4,67,x,-45.466929,167.153987,75.054749,2021-03-01 01:37:28+00:00,Line 4,DOC200,DOC200 Single not in db
BP51,68,x,-45.466704,167.15439,83.188019,2021-03-01 01:42:10+00:00,Line 4,DOC200,DOC200 Single not in db
BP53,69,x,-45.466539,167.154741,80.116631,2021-03-01 01:45:42+00:00,Line 4,DOC200,DOC200 Single not in db
BP54.4,70,x,-45.466212,167.154697,68.855789,2021-03-01 01:49:39+00:00,Line 4,DOC200,DOC200 Single not in db
BP61,71,x,-45.465166,167.15604,69.345482,2021-03-01 02:06:51+00:00,Line 4,DOC200,DOC200 Single not in db
BP70,72,x,-45.465762,167.152819,42.002918,2021-02-28 22:36:45+00:00,Line 6,DOC200,DOC200 Single not in db
BP73,73,x,-45.465648,167.15189,68.814079,2021-02-28 22:51:57+00:00,Line 6,DOC200,DOC200 Single not in db
BP76,74,x,-45.46521,167.150928,108.217377,2021-02-28 23:07:37+00:00,Line 6,DOC200,DOC200 Single not in db
L01,75,x,-45.486374,167.169442,141.43808,2021-03-01 19:50:49+00:00,Line 8,DOC200,DOC200 Single not in db
L03,76,x,-45.48672,167.169621,161.115799,2021-03-01 19:54:31+00:00,Line 8,DOC200,DOC200 Single not in db
L05,77,x,-45.487213,167.169619,182.108597,2021-03-01 19:58:01+00:00,Line 8,DOC200,DOC200 Single not in db
L07,78,x,-45.487654,167.169766,208.177719,2021-03-01 20:02:09+00:00,Line 8,DOC200,DOC200 Single not in db
L08,79,x,-45.487747,167.169544,219.993988,2021-03-01 20:04:31+00:00,Line 8,DOC200,DOC200 Single not in db
L09,80,x,-45.48811,167.16964,225.25238,2021-03-01 20:06:38+00:00,Line 8,DOC200,DOC200 Single not in db
L10,81,x,-45.488375,167.1695,232.642471,2021-03-01 20:08:51+00:00,Line 8,DOC200,DOC200 Single not in db
L11,82,x,-45.488586,167.169466,239.580872,2021-03-01 20:10:42+00:00,Line 8,DOC200,DOC200 Single not in db
L12,83,x,-45.488782,167.169129,258.638214,2021-03-01 20:13:47+00:00,Line 8,DOC200,DOC200 Single not in db
