name, latitude, longitude, time, comment, symbol, description
BP53.6, -45.461975, 167.149329, 2021-02-28 19:36:03+00:00, A24, Pin Blue, Line 5
BP54, -45.461847, 167.149155, 2021-02-28 19:48:08+00:00, A24, Pin Blue, Line 5
BP54.5, -45.46114, 167.148646, 2021-02-28 20:03:43+00:00, A24, Pin Blue, Line 5
BP55, -45.460628, 167.148406, 2021-02-28 20:14:31+00:00, A24, Pin Blue, Line 5
BP56, -45.460276, 167.148032, 2021-02-28 20:21:16+00:00, A24, Pin Blue, Line 5
BP57, -45.460149, 167.14759, 2021-02-28 20:32:09+00:00, A24, Pin Blue, Line 5
BP58, -45.459701, 167.148107, 2021-02-28 20:39:04+00:00, A24, Pin Blue, Line 5
BP59, -45.459531, 167.148179, 2021-02-28 20:48:11+00:00, A24, Pin Blue, Line 5
BP60, -45.45907, 167.148123, 2021-02-28 20:55:48+00:00, A24, Pin Blue, Line 5
BP70, -45.465762, 167.152819, 2021-02-28 22:36:45+00:00, DOC200, Pin Red, Line 6
BP71, -45.465755, 167.152457, 2021-02-28 22:42:56+00:00, A24, Pin Blue, Line 6
BP72, -45.465653, 167.152195, 2021-02-28 22:47:13+00:00, A24, Pin Blue, Line 6
BP73, -45.465648, 167.15189, 2021-02-28 22:51:57+00:00, DOC200, Pin Red, Line 6
BP74, -45.465433, 167.15152, 2021-02-28 22:57:16+00:00, A24, Pin Blue, Line 6
BP75, -45.465066, 167.151164, 2021-02-28 23:02:14+00:00, A24, Pin Blue, Line 6
BP76, -45.46521, 167.150928, 2021-02-28 23:07:37+00:00, DOC200, Pin Red, Line 6
BP76.6, -45.465062, 167.15073, 2021-02-28 23:17:09+00:00, No Trap, Navaid Black, Line 6
BP77, -45.465055, 167.150301, 2021-02-28 23:20:49+00:00, A24, Pin Blue, Line 6
BP78, -45.464916, 167.150166, 2021-02-28 23:25:46+00:00, A24, Pin Blue, Line 6
BP78.6, -45.465061, 167.149513, 2021-02-28 23:35:25+00:00, A24 Wrong co-ords back down hill., Pin Blue, Line 6
BP79, -45.465018, 167.149622, 2021-02-28 23:36:52+00:00, A24, Pin Blue, Line 6
BP80, -45.464874, 167.149259, 2021-02-28 23:44:12+00:00, A24, Pin Blue, Line 6
BP81, -45.464807, 167.148927, 2021-02-28 23:50:33+00:00, A24, Pin Blue, Line 6
BP82, -45.46456, 167.148949, 2021-02-28 23:55:13+00:00, A24, Pin Blue, Line 6
BP83, -45.464264, 167.148804, 2021-02-28 23:58:43+00:00, A24, Pin Blue, Line 6
BP84, -45.464004, 167.148736, 2021-03-01 00:02:48+00:00, A24, Pin Blue, Line 6
BP85, -45.463761, 167.148378, 2021-03-01 00:07:55+00:00, A24, Pin Blue, Line 6
