Line, Trap Number, Type, Catch, Comment -------------------
Bowen,B01,DOC 150 Double,,
Bowen,B02,DOC 200 Single,,
Bowen,B03-MISSING,DOC 200 Single,,
Bowen,B04,DOC 200 Single,,
Bowen,B05,DOC 200 Single,,
Bowen,B06,DOC 200 Single,,
Bowen,B08,DOC 200 Single,,
Bowen,B09,DOC 200 Single,,
Bowen,B10,DOC 200 Single,,
Bowen,B11,A24,,
Bowen,B12,A24,,
Bowen,B13,A24,,
Bowen,B14,A24,,
Bowen,B15,A24,,
Bowen,B16,A24,,
Bowen,B17,A24,,
Bowen,B18,A24,,
Bowen,B19,A24,,
Bowen,B20,A24,,
Bowen,B21,A24,,
Bowen,B22,A24,,
Bowen,B23,A24,,
Bowen,B24,A24,,
Cat Line,C01-MISSING, Live Cat Trap,,
Cat Line,C02, Live Cat Trap,,
Cat Line,C02, Live Cat Trap,,
Cat Line,C03, Live Cat Trap,,
Cat Line,C04, Live Cat Trap,,
Cat Line,C05, Live Cat Trap,,
Cat Line,C06, Live Cat Trap,,
Gertrude Line,AC01-MISSING,DOC 200 Single,,
Gertrude Line,AC02,DOC 200 Single,,
Gertrude Line,AC03,DOC 200 Single,,
Gertrude Line,AC04,DOC 200 Single,,
Gertrude Line,AC05,DOC 200 Single,,
Gertrude Line,AC06,DOC 200 Single,,
Gertrude Line,AC07,DOC 200 Single,,
Gertrude Line,AC08-MISSING,DOC 200 Single,,
Gertrude Line,AC09,DOC 200 Single,,
Gertrude Line,AC10,DOC 200 Single,,
Gertrude Line,AC11,DOC 200 Single,,
Gertrude Line,AC18-?MISSING?,DOC 150 Double,,
Gertrude Line,AC21,DOC 150 Double,,
Gertrude Line,AC22,DOC 150 Double,,
Gertrude Line,AC23,DOC 150 Double,,
Gertrude Line,AC24,DOC 150 Double,,
Gertrude Line,AC25,DOC 150 Double,,
Gertrude Line,AC26,DOC 150 Double,,
Gertrude Line,AC27,DOC 150 Double,,
Gertrude Line,AC28,DOC 150 Double,,
Gertrude Line,AC29,DOC 150 Double,,
Gertrude Line,AC30,DOC 150 Double,,
Gertrude Line,AC60,DOC 200 Single,,
Gertrude Line,AC61,DOC 200 Single,,
Gertrude Line,AC62,DOC 200 Single,,
Gertrude Line,AC81-MISSING,DOC 200 Double,,
Gertrude Line,AC82,DOC 200 Double,,
Gertrude Line,AC87,DOC 200 Double,,
Goodnature Line,AC73,A24,,
Goodnature Line,AC74,A24,,
Goodnature Line,AC75,A24,,
Goodnature Line,AC76,A24,,
Goodnature Line,AC77,A24,,
Goodnature Line,AC80,A24,,
Goodnature Line,AC83,A24,,
Goodnature Line,AC84,A24,,
Goodnature Line,AC85,A24,,
Goodnature Line,AC86,A24,,
Homer Line,AC12,DOC 200 Single,,
Homer Line,AC13,DOC 200 Single,,
Homer Line,AC14,DOC 200 Single,,
Homer Line,AC15,DOC 200 Single,,
Homer Line,AC16,DOC 200 Single,,
Homer Line,AC17,DOC 200 Single,,
Homer Line,AC31,DOC 150 Double,,
Homer Line,AC32,DOC 150 Double,,
Homer Line,AC33,DOC 150 Double,,
Homer Line,AC34,DOC 150 Double,,
Homer Line,AC35,DOC 150 Double,,
Homer Line,AC36,DOC 150 Double,,
Homer Line,AC37,DOC 150 Double,,
Homer Line,AC38,DOC 150 Double,,
Homer Line,AC39,DOC 150 Double,,
Homer Line,AC40,DOC 150 Double,,
Homer Line,AC41,DOC 200 Single,,
Homer Line,AC42,DOC 200 Single,,
Homer Line,AC43,DOC 200 Single,,
Homer Line,AC70,DOC 200 Double,,
Homer Line,AC71,DOC 200 Single,,
Homer Line,AC72,DOC 200 Single,,
Possum Line,P01, Trapinator,,
Possum Line,P02, Trapinator,,
Possum Line,P03, Trapinator,,
Possum Line,P04, Trapinator,,
Possum Line,P05, Trapinator,,
Possum Line,P06, Trapinator,,
Possum Line,P07, Trapinator,,
Possum Line,P08, Trapinator,,
Possum Line,P09, Trapinator,,
Possum Line,P10, Trapinator,,
Possum Line,P11, Trapinator,,
Possum Line,P12, Trapinator,,
Possum Line,P13, Trapinator,,
Possum Line,P14, Trapinator,,
Possum Line,P15, Trapinator,,
Possum Line,P16, Trapinator,,
Possum Line,P17, Trapinator,,
Possum Line,P18, Trapinator,,
Possum Line,P19, Trapinator,,
Possum Line,P20, Trapinator,,
Possum Line,P21, Trapinator,,
Possum Line,P22, Trapinator,,
Possum Line,P23, Trapinator,,
Possum Line,P24, Trapinator,,
Possum Line,P25, Trapinator,,
Possum Line,P26, Trapinator,,
Possum Line,P27, Trapinator,,
Possum Line,P28, Trapinator,,
Possum Line,P29, Trapinator,,
Possum Line,P30, Trapinator,,
Possum Line,P31, Trapinator,,
Possum Line,P32, Trapinator,,
,,TEAM, DATE, Please send to:
,,,, stanleymulvany@gmail.com
,,,,S Mulvany PO Box 6071
,,,,Invercargill 9841
