geometry,Area,Line,Tag No,Trap 1,Trap 2,Date Checked,Baited With,Baited On,Status,Record Comment,Comment,User ID,Trap No,Trap Type
"X: 1204488.7613, Y: 5030754.4559, Z: NaN",Hollyford,AC_Possum,P01,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,1,Trapinator
"X: 1204498.5336, Y: 5030768.6044, Z: NaN",Hollyford,AC_Possum,P02,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,2,Trapinator
"X: 1204707.6319, Y: 5031132.225, Z: NaN",Hollyford,AC_Possum,P03,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,3,Trapinator
"X: 1204673.8172, Y: 5030988.5299, Z: NaN",Hollyford,AC_Possum,P04,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,4,Trapinator
"X: 1204704.9024, Y: 5030800.9929, Z: NaN",Hollyford,AC_Possum,P05,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,5,Trapinator
"X: 1204524.4084, Y: 5030722.53, Z: NaN",Hollyford,AC_Possum,P06,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,6,Trapinator
"X: 1204507.483, Y: 5030681.345, Z: NaN",Hollyford,AC_Possum,P07,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,7,Trapinator
"X: 1204463.5913, Y: 5030817.4686, Z: NaN",Hollyford,AC_Possum,P08,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,8,Trapinator
"X: 1204341.9232, Y: 5030860.8215, Z: NaN",Hollyford,AC_Possum,P09,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,9,Trapinator
"X: 1204333.6698, Y: 5030944.5013, Z: NaN",Hollyford,AC_Possum,P10,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,10,Trapinator
"X: 1204291.4046, Y: 5031029.654, Z: NaN",Hollyford,AC_Possum,P11,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,11,Trapinator
"X: 1204320.4476, Y: 5031013.5978, Z: NaN",Hollyford,AC_Possum,P12,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,12,Trapinator
"X: 1204407.084, Y: 5031059.0818, Z: NaN",Hollyford,AC_Possum,P13,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,13,Trapinator
"X: 1204417.9608, Y: 5031079.823, Z: NaN",Hollyford,AC_Possum,P14,Possum,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Maintenance required functioning,,"Bent, hard to set.",Southland Tramping Club,14,Trapinator
