name, latitude, longitude, elevation, time, symbol
AC01-MISSING, -44.76208494, 168.00908495, 8848.0, 2021-03-27 23:00:00+00:00, Navaid Black
AC02, -44.76273391, 168.00829697, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC03, -44.76322365, 168.00710639, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC04, -44.76357987, 168.00624202, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC05, -44.76436384, 168.00615602, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC06, -44.76554179, 168.00505005, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC07, -44.76676673, 168.00442006, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC08-MISSING, -44.7674837, 168.00421407, 8848.0, 2021-03-27 23:00:00+00:00, Navaid Black
AC09, -44.76849966, 168.00468905, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC10, -44.76909863, 168.00378407, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC11, -44.76902764, 168.00332008, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC12, -44.76876065, 168.00183913, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC13, -44.76812067, 168.00168213, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC14, -44.76814767, 168.00080716, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC15, -44.76947262, 168.00209912, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC16, -44.76591476, 167.99737327, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC17, -44.77096055, 168.0024631, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC18-?MISSING?, -44.78275595, 168.01302392, 8848.0, 2021-03-27 23:00:00+00:00, Navaid Black
AC21, -44.76142597, 168.00970994, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC22, -44.76109498, 168.01071691, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC23, -44.760796, 168.01229086, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC24, -44.76025291, 168.01361778, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC25, -44.75910281, 168.01479414, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC26, -44.75811811, 168.01555978, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC27, -44.75896171, 168.01456703, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC28, -44.75401329, 168.01766574, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC29, -44.75362231, 168.01735075, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC30, -44.75227337, 168.01819473, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC31, -44.76521178, 167.98900052, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC32, -44.7647258, 167.98870953, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC33, -44.76426482, 167.98811755, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC34, -44.76352985, 167.98768957, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC35, -44.76298288, 167.98777757, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC36, -44.7624379, 167.98803356, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC37, -44.76208791, 167.98754158, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC38, -44.76125095, 167.98642261, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC39, -44.76109796, 167.98611762, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC40, -44.76091696, 167.98556464, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC41, -44.76068997, 167.98486766, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC42, -44.76058297, 167.98379769, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC43, -44.76078797, 167.98381669, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC60, -44.75120724, 168.01770508, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC61, -44.75128741, 168.0194647, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC62, -44.75174039, 168.02113165, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC70, -44.76404184, 167.99151545, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC71, -44.76442982, 167.99232642, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC72, -44.76589176, 167.99374638, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC73, -44.76473881, 167.99580832, 8848.0, 2020-11-19 20:42:10+00:00, Pin Blue
AC74, -44.7651278, 167.9963183, 8848.0, 2020-11-19 20:42:10+00:00, Pin Blue
AC75, -44.76624575, 167.99837224, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
AC76, -44.76683873, 168.00008918, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC77, -44.76769469, 168.00015818, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC80, -44.76790669, 168.00524203, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC81-MISSING, -44.76949062, 168.00525603, 8848.0, 2021-03-27 23:00:00+00:00, Navaid Black
AC82, -44.76847366, 168.00681399, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
AC83, -44.76781269, 168.00713798, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC84, -44.76844766, 168.00607301, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC85, -44.76866365, 168.00543703, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC86, -44.78276806, 168.01299175, 8848.0, 2021-03-27 23:00:00+00:00, Pin Blue
AC87, -44.76891472, 168.00268756, 8848.0, 2021-03-27 23:00:00+00:00, Pin Red
B01, -44.64804358, 167.93478021, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B02, -44.64903082, 167.93520235, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B03-MISSING, -44.64984778, 167.93571933, 8848.0, 2020-10-21 23:00:00+00:00, Navaid Black
B04, -44.65052627, 167.93624848, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B05, -44.6517737, 167.93570334, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B06, -44.65301464, 167.93609933, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B08, -44.65803042, 167.93513437, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B09, -44.65807069, 167.93481085, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B10, -44.65818141, 167.93441639, 8848.0, 2020-10-21 23:00:00+00:00, Pin Red
B11, -44.65838305, 167.93409431, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B12, -44.65856239, 167.93363741, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B13, -44.65725233, 167.93562394, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B14, -44.65629043, 167.93611455, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B15, -44.65511904, 167.9364895, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B16, -44.65430959, 167.93641132, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B17, -44.65321863, 167.93628232, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B18, -44.65208268, 167.93589433, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B19, -44.65102973, 167.93571133, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B20, -44.65016377, 167.93593833, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B21, -44.64936881, 167.93526434, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B22, -44.64767588, 167.93449137, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B23, -44.66004433, 167.93357942, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
B24, -44.66046031, 167.93371141, 8848.0, 2020-10-21 23:00:00+00:00, Pin Blue
C01-MISSING, -44.77017059, 168.00210711, 8848.0, 2019-05-06 00:00:00+00:00, Navaid Black
C02, -44.76578477, 167.99732027, 8848.0, 2019-05-06 00:00:00+00:00, Navaid Blue
C02, -44.76578477, 167.99732027, 8848.0, 2019-03-27 23:00:00+00:00, Navaid Blue
C03, -44.76901264, 168.00233911, 8848.0, 2019-05-06 00:00:00+00:00, Navaid Blue
C04, -44.7676597, 168.00542903, 8848.0, 2019-05-06 00:00:00+00:00, Navaid Blue
C05, -44.76942662, 168.00209312, 8848.0, 2019-05-06 00:00:00+00:00, Navaid Blue
C06, -44.76692172, 168.00016718, 8848.0, 2019-05-06 00:00:00+00:00, Navaid Blue
P01, -44.76876765, 168.00199912, 8848.0, 2021-03-27 23:00:00+00:00, Pin Green
P02, -44.76876765, 168.00199912, 8848.0, 2021-03-27 23:00:00+00:00, Pin Green
P03, -44.76876765, 168.00199912, 8848.0, 2021-03-27 23:00:00+00:00, Pin Green
P04, -44.76876765, 168.00199912, 8848.0, 2021-03-27 23:00:00+00:00, Pin Green
