name, latitude, longitude, time, symbol
AC31, -44.763572, 167.989056, 2021-02-16 20:07:44+00:00, Flag Blue
AC32, -44.763086, 167.988765, 2021-02-16 20:13:20+00:00, Flag Blue
AC33, -44.762625, 167.988173, 2021-02-16 20:18:55+00:00, Flag Blue
AC34, -44.76189, 167.987745, 2021-02-16 20:24:04+00:00, Flag Blue
AC35, -44.761343, 167.987833, 2021-02-16 20:28:13+00:00, Flag Blue
AC36, -44.760798, 167.988089, 2021-02-16 20:33:16+00:00, Flag Blue
AC37, -44.760448, 167.987597, 2021-02-16 20:40:02+00:00, Flag Blue
AC38, -44.759611, 167.986478, 2021-02-16 20:48:47+00:00, Flag Blue
AC40, -44.759277, 167.98562, 2021-02-16 20:56:47+00:00, Flag Blue
AC41, -44.75905, 167.984923, 2021-02-16 21:04:23+00:00, Flag Blue
AC42, -44.758943, 167.983853, 2021-02-16 21:15:16+00:00, Flag Blue
AC43, -44.759148, 167.983872, 2021-02-16 21:22:28+00:00, Flag Blue
AC39, -44.759458, 167.986173, 2021-02-16 22:35:51+00:00, Flag Blue
AC70, -44.762402, 167.991571, 2021-02-16 23:25:29+00:00, Flag Blue
AC71, -44.76279, 167.992382, 2021-02-16 23:30:44+00:00, Flag Blue
AC72, -44.764252, 167.993802, 2021-02-16 23:41:16+00:00, Flag Blue
AC16, -44.764275, 167.997429, 2021-02-17 00:00:57+00:00, Flag Blue
AC14, -44.766508, 168.000863, 2021-02-17 00:18:06+00:00, Flag Blue
AC12, -44.767121, 168.001895, 2021-02-17 00:26:27+00:00, Flag Blue
AC13, -44.766481, 168.001738, 2021-02-17 00:31:38+00:00, Flag Blue
AC51, -44.767833, 168.002155, 2021-02-17 00:38:11+00:00, Flag Blue
AC17, -44.769321, 168.002519, 2021-02-17 00:47:45+00:00, Flag Blue
