name,latitude,longitude,elevation,time,comment,symbol,description
B02,-44.64903082,167.93520235,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B03,-44.64984778,167.93571933,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B04,-44.65052627,167.93624848,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B05,-44.65177370,167.93570334,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B06,-44.65301464,167.93609933,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B08,-44.65803042,167.93513437,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B09,-44.65807069,167.93481085,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B10,-44.65818141,167.93441639,,2020-10-21T23:00:00.0000000,DOC 200 Single, Pin Red,Bowen
B11,-44.65838305,167.93409431,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B12,-44.65856239,167.93363741,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B13,-44.65725233,167.93562394,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B14,-44.65629043,167.93611455,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B15,-44.65511904,167.93648950,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B16,-44.65430959,167.93641132,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B17,-44.65321863,167.93628232,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B18,-44.65208268,167.93589433,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B19,-44.65102973,167.93571133,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B20,-44.65016377,167.93593833,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B21,-44.64936881,167.93526434,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B22,-44.64767588,167.93449137,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B23,-44.66004433,167.93357942,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
B24,-44.66046031,167.93371141,,2020-10-21T23:00:00.0000000,A24, Pin Blue,Bowen
BAC01,-44.64804358,167.93478021,,2020-10-21T23:00:00.0000000,DOC 150 Double, Pin Red,Bowen
