name,latitude,longitude,elevation,time,comment,symbol,description
AC01,-44.76208494,168.00908495,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC02,-44.76273391,168.00829697,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC03,-44.76322365,168.00710639,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC04,-44.76357987,168.00624202,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC05,-44.76436384,168.00615602,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC06,-44.76554179,168.00505005,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC07,-44.76676673,168.00442006,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC08,-44.76748370,168.00421407,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC09,-44.76849966,168.00468905,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC09,-44.76849966,168.00468905,,2021-02-18T11:05:32.0000000,DOC 200 Single, Pin Red,
AC10,-44.76909863,168.00378407,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC11,-44.76902764,168.00332008,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC11,-44.76902764,168.00332008,,2021-02-18T11:05:32.0000000,DOC 200 Single, Pin Red,
AC12,-44.76876065,168.00183913,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC13,-44.76812067,168.00168213,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC14,-44.76814767,168.00080716,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC15,-44.76947262,168.00209912,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC16,-44.76591476,167.99737327,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC17,-44.77096055,168.00246310,,2021-03-27T23:00:00.0000000,DOC 200 Single, Pin Red,
AC18,-44.78275595,168.01302392,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC21,-44.76142597,168.00970994,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC22,-44.76109498,168.01071691,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC23,-44.76079600,168.01229086,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC24,-44.76025291,168.01361778,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC25,-44.75910281,168.01479414,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC26,-44.75811811,168.01555978,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC27,-44.75896171,168.01456703,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC28,-44.75401329,168.01766574,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC29,-44.75362231,168.01735075,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
AC30,-44.75227337,168.01819473,,2021-03-27T23:00:00.0000000,DOC 150 Double, Pin Red,
