name,lat,lon,ele,time,cmt,sym,desc
AC01,-44.76044504,168.00914099,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC02,-44.76109404,168.00835299,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC03,-44.76158380,168.00716237,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC04,-44.76194004,168.00629799,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC05,-44.76272405,168.00621199,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC06,-44.76390204,168.00510599,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC07,-44.76512705,168.00447599,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC08,-44.76584404,168.00426999,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC09,-44.76686004,168.00474499,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC10,-44.76745904,168.00383999,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC11,-44.76738804,168.00337599,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC12,-44.76712105,168.00189499,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC13,-44.76648105,168.00173799,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC14,-44.76650804,168.00086299,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC15,-44.76783304,168.00215499,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC16,-44.76427505,167.99742899,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC17,-44.76932104,168.00251899,0,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Alpine Club
AC18,-44.78111693,168.01308016,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC19,-44.80022215,168.02186790,0,2019-05-06T00:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC20,-44.79939122,168.02247478,0,2019-05-06T00:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC21,-44.75978604,168.00976599,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC22,-44.75945504,168.01077299,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC23,-44.75915604,168.01234699,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC24,-44.75861293,168.01367394,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC25,-44.75746279,168.01485033,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC26,-44.75647804,168.01561599,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC27,-44.75732168,168.01462321,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC28,-44.75237305,168.01772199,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC29,-44.75198205,168.01740699,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC30,-44.75063304,168.01825099,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC31,-44.76357204,167.98905599,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC32,-44.76308604,167.98876499,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
AC33,-44.76262504,167.98817299,0,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Alpine Club
