name,latitude,longitude,elevation,time,comment,symbol,description
P01,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P02,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P03,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P04,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P05,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P06,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P07,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P08,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P09,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P10,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P11,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P12,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P13,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P14,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P15,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P16,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P17,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P18,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P19,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P20,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P21,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P22,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P23,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P24,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P25,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P26,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P27,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P28,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P29,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P30,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P31,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
P32,-44.76876765,168.00199912,,2021-03-27T23:00:00.0000000,Trapinator, Pin Green,Possum Line
